工事コード,名称,摘要,単位,発注単価,見積単価,数量根拠
160022,ｲﾝﾀｰﾎﾝ取付費,,ヶ所,3000,4300,
160023,幹線引込・分電盤,,式,150000,214300,定数1式
160024,太陽光対応分電盤変更,,式,32000,45800,
160025,スマートコスモ分電盤変更,太陽光対応分電盤からの差額,式,60000,85800,
160026,HEMS本体,Panasonic　AiSEG3（ｹﾞｰﾄｳｪｲ）,台,40560,58000,
160027,HEMS設定,,式,26600,38000,
160028,電力会社申請費,,式,20000,28600,定数1式
170001,熱交換型第一種24時間換気ｼｽﾃﾑ,【本体】Panasonic（63㎡以下）小1,ｾｯﾄ,103600,148000,
170002,熱交換型第一種24時間換気ｼｽﾃﾑ,【本体】Panasonic（103㎡以下）大1,ｾｯﾄ,114800,164000,
170003,熱交換型第一種24時間換気ｼｽﾃﾑ,【本体】Panasonic（123㎡以下）小2,ｾｯﾄ,114800,164000,※面積帯追加
170004,熱交換型第一種24時間換気ｼｽﾃﾑ,【本体】Panasonic（162㎡以下）小1大1,ｾｯﾄ,134400,192000,
170005,熱交換型第一種24時間換気ｼｽﾃﾑ,【本体】Panasonic（202㎡以下）大2,ｾｯﾄ,229600,328000,
170006,熱交換型第一種24時間換気ｼｽﾃﾑ,【ﾀﾞｸﾄ材等】断熱防火ﾀﾞｸﾄ使用,坪,2030,2900,
170007,熱交換型第一種24時間換気ｼｽﾃﾑ,取付施工費(基本ｾｯﾄ・2台以下),式,130200,186000,
170008,熱交換型第一種24時間換気ｼｽﾃﾑ,電源工事 単相100V,ヶ所,2200,3200,
170009,局所換気用壁付換気扇,Panasonic　FY-08PPR9D　気密ﾀｲﾌﾟ,台,9900,14200,
170010,局所換気用壁付換気扇,壁付ﾀｲﾌﾟ取付費,ヶ所,3000,4300,
170011,局所換気用壁付換気扇,電源工事 単相100V,ヶ所,2200,3200,
170012,局所換気用壁付換気扇,汎用壁ｽｲｯﾁ,ヶ所,2200,3200,
170013,屋外ﾌｰﾄﾞ:φ100 一般用,FP-100□□T 金網無し･ｶﾗｰ品 ※24H用,個,890,1300,
